Datum;Zeit;PLU;Name;Kategorie
21.03.25;12:27:08;0;Malin Tai;0
21.03.25;12:32:01;0;Tommys Booster;1
22.03.25;19:12:29;0;All in with Tommy;0
22.03.25;19:33:49;0;Tommys Booster;1
22.03.25;19:40:59;0;Malin Tai;0
22.03.25;19:41:11;0;Tommys Booster;1
22.03.25;19:42:12;0;Malin Tai;0
22.03.25;19:42:26;0;All in with Tommy;0
22.03.25;19:50:10;0;High Sunrise;1
22.03.25;20:00:50;0;Casino Night;0
22.03.25;20:17:04;0;Tropic Jackpot;1
22.03.25;20:22:14;0;Tropic Jackpot;1
22.03.25;20:23:59;0;Tropic Jackpot;1
22.03.25;20:24:09;0;Tommys Booster;1
22.03.25;20:24:20;0;Tommys Booster;1
22.03.25;20:28:16;0;Ananas 100 ml;4
22.03.25;20:28:36;0;Casino Night;0
22.03.25;20:28:58;0;Malin Tai;0
22.03.25;20:29:33;0;Showmaster;0
22.03.25;20:34:05;0;Malin Tai;0
22.03.25;20:34:46;0;High Sunrise;1
22.03.25;20:35:22;0;All in with Tommy;0
22.03.25;20:35:45;0;Tropic Jackpot;1
22.03.25;20:36:02;0;High Sunrise;1
22.03.25;20:36:54;0;Malins Ass;1
22.03.25;20:37:18;0;Tommys Booster;1
22.03.25;20:37:40;0;Malin Tai;0
22.03.25;20:38:17;0;Tommys Booster;1
22.03.25;20:38:51;0;All in with Tommy;0
22.03.25;20:39:00;0;High Sunrise;1
22.03.25;20:39:38;0;Showmaster;0
22.03.25;20:40:14;0;Casino Night;0
22.03.25;20:40:27;0;All in with Tommy;0
22.03.25;20:41:39;0;Casino Night;0
22.03.25;20:42:29;0;Malins Ass;1
22.03.25;20:43:45;0;Malins Ass;1
22.03.25;20:44:32;0;Malin Tai;0
22.03.25;20:45:11;0;Malins Ass;1
22.03.25;20:45:35;0;Malins Ass;1
22.03.25;20:46:01;0;Tommys Booster;1
22.03.25;20:46:31;0;Showmaster;0
22.03.25;20:46:59;0;Tommys Booster;1
22.03.25;20:47:22;0;Malins Ass;1
22.03.25;20:47:57;0;Tropic Jackpot;1
22.03.25;20:48:40;0;High Sunrise;1
22.03.25;20:49:01;0;Malin Tai;0
22.03.25;20:49:14;0;Tommys Booster;1
22.03.25;20:49:27;0;Tommys Booster;1
22.03.25;20:49:50;0;Malin Tai;0
22.03.25;20:52:33;0;Tommys Booster;1
22.03.25;20:54:13;0;Tommys Booster;1
22.03.25;20:54:35;0;Malin Tai;0
22.03.25;20:56:36;0;Tropic Jackpot;1
22.03.25;20:59:21;0;All in with Tommy;0
22.03.25;21:00:27;0;Casino Night;0
22.03.25;21:00:59;0;All in with Tommy;0
22.03.25;21:02:00;0;Casino Night;0
22.03.25;21:02:23;0;Casino Night;0
22.03.25;21:07:39;0;All in with Tommy;0
22.03.25;21:09:34;0;Malin Tai;0
22.03.25;21:15:31;0;Tropic Jackpot;1
22.03.25;21:16:32;0;Maracuja 100 ml;4
22.03.25;21:18:50;0;Tommys Booster;1
22.03.25;21:19:04;0;High Sunrise;1
22.03.25;21:21:02;0;Tropic Jackpot;1
22.03.25;21:21:11;0;Tropic Jackpot;1
22.03.25;21:21:25;0;Tropic Jackpot;1
22.03.25;21:21:59;0;Tropic Jackpot;1
22.03.25;21:22:34;0;All in with Tommy;0
22.03.25;21:23:57;0;Tropic Jackpot;1
22.03.25;21:26:54;0;Casino Night;0
22.03.25;21:29:28;0;All in with Tommy;0
22.03.25;21:31:12;0;All in with Tommy;0
22.03.25;21:31:36;0;Tommys Booster;1
22.03.25;21:32:35;0;Casino Night;0
22.03.25;21:40:35;0;Showmaster;0
22.03.25;21:41:12;0;Tropic Jackpot;1
22.03.25;21:41:36;0;Casino Night;0
22.03.25;21:42:05;0;High Sunrise;1
22.03.25;21:42:28;0;High Sunrise;1
22.03.25;21:42:54;0;All in with Tommy;0
22.03.25;21:43:07;0;Tropic Jackpot;1
22.03.25;21:45:00;0;Showmaster;0
22.03.25;21:45:14;0;Showmaster;0
22.03.25;21:45:25;0;Malin Tai;0
22.03.25;21:45:42;0;All in with Tommy;0
22.03.25;21:46:20;0;Tropic Jackpot;1
22.03.25;21:46:30;0;Tropic Jackpot;1
22.03.25;21:46:54;0;All in with Tommy;0
22.03.25;21:47:36;0;Showmaster;0
22.03.25;21:47:49;0;Showmaster;0
22.03.25;21:48:58;0;All in with Tommy;0
22.03.25;21:50:14;0;Showmaster;0
