Datum;Zeit;PLU;Name;Kategorie
22.09.25;14:56:59;0;Planters Wonder - 0,2;1
22.09.25;14:58:11;0;Morning Sunrise - 0,2;1
22.09.25;14:59:49;0;Planters Punch - 0,2;0
22.09.25;15:00:37;0;Sex on the Beach - 0,2;0
22.09.25;15:09:03;0;Pina Colada 200ml;0
22.09.25;15:09:38;0;Touchdown - 0,2;0
22.09.25;15:13:37;0;Touchdown - 0,2;0
22.09.25;15:14:17;0;Green Eyes - 0,2;0
22.09.25;15:15:40;0;Mai Tai - 0,2;0
22.09.25;15:15:57;0;Planters Punch - 0,2;0
22.09.25;15:16:39;0;Sex on the Beach - 0,2;0
22.09.25;15:24:39;0;Tequila Sunrise - 0,2;0
22.09.25;15:25:31;0;Iceman - 0,2;0
22.09.25;15:42:07;0;Iceman - 0,2;0
22.09.25;15:42:31;0;Carribean Night - 0,2;0
22.09.25;15:47:08;0;Tropic Star - 0,2;1
22.09.25;15:51:19;0;Orange 100 ml;4
22.09.25;15:51:38;0;Orange 100 ml;4
22.09.25;15:52:49;0;Planters Wonder - 0,2;1
22.09.25;16:00:12;0;Touchdown - 0,2;0
22.09.25;16:06:18;0;Touchdown - 0,2;0
22.09.25;16:06:54;0;Morning Sunrise - 0,2;1
