Datum;Zeit;PLU;Name;Kategorie
02.07.25;10:45:29;0;Erdbeer Dream;5
02.07.25;10:47:00;0;Erdbeer Dream;5
02.07.25;10:48:37;0;Erdbeer Dream;5
02.07.25;10:50:45;0;Erdbeer Dream;5
02.07.25;10:53:01;0;Orange 100 ml;4
02.07.25;10:53:35;0;Ananas 100 ml;4
02.07.25;10:54:47;0;Ananas 100 ml;4
02.07.25;10:54:57;0;Ananas 100 ml;4
02.07.25;10:57:59;0;Erdbeer Dream;5
02.07.25;11:00:07;0;Erdbeer Dream;5
02.07.25;11:02:49;0;Morning Sunrise;1
02.07.25;11:04:24;0;Morning Sunrise;1
03.07.25;11:40:59;0;Caddys Dream - 0,2;1
03.07.25;11:41:15;0;Planters Wonder - 0,2;1
03.07.25;11:42:06;0;Tropic Star - 0,2;1
03.07.25;11:43:26;0;Morning Sunrise - 0,2;1
03.07.25;11:45:24;0;Erdbeer Dream;5
03.07.25;11:46:24;0;Erdbeer Dream;5
03.07.25;11:48:33;0;Erdbeer Dream;5
03.07.25;11:49:03;0;Erdbeer Dream;5
03.07.25;11:49:37;0;Erdbeer Dream;5
03.07.25;12:19:01;0;Erdbeer Dream light;5
03.07.25;12:29:14;0;Erdbeer Dream;5
03.07.25;12:38:30;0;Planters Wonder;1
