Datum;Zeit;PLU;Name;Kategorie
22.09.25;16:13:32;0;Morning Sunrise - 0,2;1
22.09.25;16:14:29;0;Tropic Star - 0,2;1
22.09.25;16:15:34;0;Sex on the Beach - 0,2;0
22.09.25;16:16:50;0;Pina Colada 200ml;0
22.09.25;16:17:17;0;Mai Tai - 0,2;0
22.09.25;16:17:53;0;Iceman - 0,2;0
22.09.25;16:23:54;0;Planters Wonder - 0,2;1
22.09.25;16:44:07;0;Wodka 2cl;3
22.09.25;16:44:30;0;Tequila Sunrise - 0,2;0
22.09.25;16:44:57;0;Iceman - 0,2;0
22.09.25;16:45:20;0;Tequila 2cl;3
22.09.25;16:46:56;0;Sex on the Beach - 0,2;0
22.09.25;16:56:56;0;Iceman - 0,2;0
22.09.25;16:57:24;0;Iceman - 0,2;0
22.09.25;16:58:15;0;Tropic Star - 0,2;1
22.09.25;17:04:47;0;Iceman - 0,2;0
22.09.25;17:04:57;0;Iceman - 0,2;0
22.09.25;17:05:10;0;Touchdown - 0,2;0
22.09.25;17:05:20;0;Touchdown - 0,2;0
22.09.25;17:05:56;0;Exotic Dream - 0,2;1
22.09.25;17:16:24;0;Planters Wonder - 0,2;1
22.09.25;17:21:05;0;Planters Punch - 0,2;0
22.09.25;17:22:14;0;Exotic Dream - 0,2;1
22.09.25;17:31:06;0;Sex on the Beach - 0,2;0
22.09.25;17:31:24;0;Sex on the Beach - 0,2;0
22.09.25;17:34:07;0;Sex on the Beach - 0,2;0
22.09.25;17:36:58;0;Exotic Dream - 0,2;1
22.09.25;17:43:28;0;Planters Punch - 0,2;0
22.09.25;17:45:19;0;Mai Tai - 0,2;0
22.09.25;17:45:47;0;Iceman - 0,2;0
22.09.25;17:46:04;0;Iceman - 0,2;0
22.09.25;17:46:50;0;Pina Colada 200ml;0
22.09.25;18:03:50;0;Iceman - 0,2;0
22.09.25;18:07:12;0;Wodka 2cl;3
22.09.25;18:07:20;0;Wodka 2cl;3
24.09.25;14:59:59;0;Planters Punch - 0,2;0
24.09.25;15:00:21;0;Planters Punch - 0,2;0
24.09.25;15:03:12;0;Touchdown - 0,2;0
24.09.25;15:06:58;0;Ananas 100 ml;4
24.09.25;15:16:28;0;Morning Sunrise - 0,2;1
24.09.25;15:22:36;0;Sahne;5
24.09.25;15:24:06;0;Sahne;5
24.09.25;15:24:20;0;Sahne;5
24.09.25;15:24:38;0;Sahne;5
24.09.25;15:24:46;0;Sahne;5
