Datum;Zeit;PLU;Name;Kategorie
10.08.24;14:08:34;009;Sex on the Beach;0
10.08.24;14:16:45;000;Moscow Mule;0
10.08.24;14:17:05;000;Moscow Mule;0
10.08.24;14:17:17;000;Moscow Mule;0
10.08.24;14:20:57;000;Moscow Mule;0
10.08.24;14:25:42;000;Moscow Mule;0
10.08.24;14:26:20;000;Moscow Mule;0
10.08.24;14:29:23;000;Moscow Mule;0
10.08.24;14:30:50;000;Moscow Mule;0
10.08.24;14:31:31;000;Moscow Mule;0
10.08.24;14:31:58;003;Gruene Wiese;1
10.08.24;14:50:37;009;Sex on the Beach;0
10.08.24;14:52:38;009;Sex on the Beach;0
10.08.24;14:54:19;000;Moscow Mule;0
10.08.24;14:56:44;000;Moscow Mule;0
10.08.24;18:11:47;003;Gruene Wiese;1
10.08.24;18:12:41;009;Sex on the Beach;0
10.08.24;18:13:43;003;Gruene Wiese;1
10.08.24;18:18:23;003;Virgin Sex on the Beach;1
10.08.24;18:20:20;010;Tequila Sunrise;0
10.08.24;18:20:53;010;Tequila Sunrise;0
10.08.24;18:22:32;009;Sex on the Beach;0
10.08.24;18:23:12;000;Moscow Mule;0
10.08.24;18:23:38;000;Moscow Mule;0
10.08.24;18:23:58;000;Moscow Mule;0
10.08.24;18:24:40;009;Sex on the Beach;0
10.08.24;18:25:02;009;Sex on the Beach;0
10.08.24;18:25:33;010;Tequila Sunrise;0
10.08.24;18:27:13;003;Gruene Wiese;1
10.08.24;18:27:46;010;Tequila Sunrise;0
10.08.24;18:30:04;008;Planters Punch;0
10.08.24;18:30:37;000;Moscow Mule;0
10.08.24;18:31:32;006;Mexikaner;0
10.08.24;18:32:05;006;Mexikaner;0
10.08.24;18:32:56;004;Green Eyes;0
10.08.24;18:35:51;001;Carribean Night;0
10.08.24;18:39:14;005;Ice Man;0
10.08.24;18:43:06;011;Wodka Cranberry;2
10.08.24;18:44:23;000;Moscow Mule;0
10.08.24;18:51:57;000;Moscow Mule;0
10.08.24;19:07:37;004;Green Eyes;0
10.08.24;19:08:18;000;Moscow Mule;0
10.08.24;19:25:04;010;Tequila Sunrise;0
10.08.24;19:25:59;000;Moscow Mule;0
10.08.24;19:30:09;000;Moscow Mule;0
10.08.24;19:30:38;009;Sex on the Beach;0
10.08.24;19:34:39;000;Moscow Mule;0
10.08.24;19:38:18;009;Sex on the Beach;0
10.08.24;19:39:37;010;Tequila Sunrise;0
10.08.24;19:40:07;010;Tequila Sunrise;0
10.08.24;19:40:42;003;Virgin Sex on the Beach;1
10.08.24;19:41:24;008;Planters Punch;0
10.08.24;19:44:09;009;Sex on the Beach;0
