Datum;Zeit;PLU;Name;Kategorie
24.09.25;15:58:29;0;Sex on the Beach - 0,2;0
24.09.25;15:58:57;0;Green Eyes - 0,2;0
24.09.25;15:59:11;0;Touchdown - 0,2;0
24.09.25;16:00:10;0;Touchdown - 0,2;0
24.09.25;17:03:58;0;Touchdown - 0,2;0
26.09.25;07:18:53;0;Planters Wonder - 0,2;1
26.09.25;07:38:16;0;Planters Wonder - 0,2;1
26.09.25;07:39:16;0;Planters Wonder - 0,2;1
26.09.25;07:50:20;0;Planters Wonder - 0,2;1
26.09.25;07:59:32;0;Tropic Star - 0,2;1
26.09.25;07:59:56;0;Baby Colada 200ml;1
26.09.25;08:02:43;0;Iceman - 0,2;0
26.09.25;08:03:03;0;Tropic Star - 0,2;1
26.09.25;08:03:33;0;Planters Wonder - 0,2;1
26.09.25;08:05:01;0;Planters Wonder - 0,2;1
26.09.25;08:05:57;0;Tropic Star - 0,2;1
26.09.25;08:06:58;0;Planters Wonder - 0,2;1
26.09.25;08:07:18;0;Tropic Star - 0,2;1
26.09.25;08:07:56;0;Sex on the Beach - 0,2;0
26.09.25;08:08:34;0;Sex on the Beach - 0,2;0
26.09.25;08:08:54;0;Pina Colada 200ml;0
26.09.25;08:09:42;0;Mai Tai - 0,2;0
26.09.25;08:10:01;0;Iceman - 0,2;0
26.09.25;08:10:09;0;Pina Colada 200ml;0
26.09.25;08:10:22;0;Mai Tai - 0,2;0
26.09.25;08:10:52;0;Mai Tai - 0,2;0
26.09.25;08:11:31;0;Morning Sunrise - 0,2;1
26.09.25;08:11:46;0;Morning Sunrise - 0,2;1
26.09.25;08:26:25;0;Planters Punch - 0,2;0
26.09.25;08:26:43;0;Touchdown - 0,2;0
26.09.25;08:26:56;0;Iceman - 0,2;0
26.09.25;08:27:12;0;Mai Tai - 0,2;0
26.09.25;08:27:28;0;Touchdown - 0,2;0
26.09.25;08:27:45;0;Carribean Night - 0,2;0
26.09.25;08:31:55;0;Planters Wonder - 0,2;1
26.09.25;08:33:31;0;Touchdown - 0,2;0
26.09.25;08:54:45;0;Planters Punch - 0,2;0
26.09.25;08:57:42;0;Touchdown - 0,2;0
26.09.25;09:12:56;0;Touchdown - 0,2;0
26.09.25;09:36:16;0;Planters Punch - 0,2;0
26.09.25;09:36:41;0;Touchdown - 0,2;0
26.09.25;09:37:04;0;Tequila Sunrise - 0,2;0
26.09.25;09:37:22;0;Iceman - 0,2;0
26.09.25;09:37:36;0;Mai Tai - 0,2;0
26.09.25;09:53:43;0;Planters Wonder - 0,2;1
26.09.25;09:54:08;0;Tropic Star - 0,2;1
26.09.25;10:00:29;0;Planters Punch - 0,2;0
26.09.25;10:00:45;0;Planters Punch - 0,2;0
26.09.25;10:01:23;0;Morning Sunrise - 0,2;1
26.09.25;10:02:06;0;Iceman - 0,2;0
26.09.25;10:03:04;0;Touchdown - 0,2;0
26.09.25;10:13:31;0;Touchdown - 0,2;0
26.09.25;10:14:18;0;Planters Punch - 0,2;0
26.09.25;10:14:35;0;Iceman - 0,2;0
26.09.25;10:14:51;0;Mai Tai - 0,2;0
26.09.25;10:15:12;0;Sex on the Beach - 0,2;0
26.09.25;10:15:42;0;Tequila Sunrise - 0,2;0
26.09.25;10:16:05;0;Planters Punch - 0,2;0
26.09.25;10:23:23;0;Planters Punch - 0,2;0
26.09.25;10:23:34;0;Touchdown - 0,2;0
26.09.25;10:23:47;0;Iceman - 0,2;0
26.09.25;10:28:37;0;Planters Wonder - 0,2;1
26.09.25;10:28:48;0;Tropic Star - 0,2;1
26.09.25;10:30:12;0;Bora Bora - 0,2;1
26.09.25;10:30:31;0;Morning Sunrise - 0,2;1
26.09.25;10:31:50;0;Planters Punch - 0,2;0
26.09.25;10:32:05;0;Mai Tai - 0,2;0
26.09.25;10:40:15;0;Rum weiss 2cl;3
26.09.25;11:42:16;0;Planters Punch - 0,2;0
26.09.25;11:42:24;0;Planters Punch - 0,2;0
26.09.25;11:47:24;0;Planters Punch - 0,2;0
26.09.25;11:47:42;0;Planters Punch - 0,2;0
26.09.25;11:47:54;0;Mai Tai - 0,2;0
26.09.25;11:48:04;0;Mai Tai - 0,2;0
26.09.25;11:48:21;0;Mai Tai - 0,2;0
26.09.25;11:48:34;0;Mai Tai - 0,2;0
26.09.25;11:48:59;0;Touchdown - 0,2;0
26.09.25;11:49:16;0;Touchdown - 0,2;0
26.09.25;11:49:27;0;Touchdown - 0,2;0
26.09.25;11:50:56;0;Mai Tai - 0,2;0
26.09.25;11:51:36;0;Green Eyes - 0,2;0
26.09.25;11:51:45;0;Green Eyes - 0,2;0
26.09.25;11:52:36;0;Touchdown - 0,2;0
26.09.25;11:53:37;0;Touchdown - 0,2;0
26.09.25;11:53:59;0;Planters Wonder - 0,2;1
26.09.25;11:54:23;0;Mai Tai - 0,2;0
26.09.25;11:54:45;0;Green Eyes - 0,2;0
26.09.25;11:55:09;0;Touchdown - 0,2;0
26.09.25;11:56:11;0;Planters Punch - 0,2;0
26.09.25;11:56:37;0;Planters Punch - 0,2;0
26.09.25;11:56:44;0;Planters Punch - 0,2;0
26.09.25;12:00:31;0;Touchdown - 0,2;0
26.09.25;12:00:46;0;Iceman - 0,2;0
26.09.25;12:01:09;0;Planters Punch - 0,2;0
26.09.25;12:01:32;0;Planters Punch - 0,2;0
26.09.25;12:04:20;0;Touchdown - 0,2;0
26.09.25;12:09:24;0;Planters Punch - 0,2;0
26.09.25;12:09:36;0;Planters Punch - 0,2;0
26.09.25;12:10:02;0;Touchdown - 0,2;0
26.09.25;12:10:22;0;Mai Tai - 0,2;0
26.09.25;12:10:41;0;Touchdown - 0,2;0
26.09.25;12:10:55;0;Iceman - 0,2;0
26.09.25;12:11:06;0;Planters Punch - 0,2;0
26.09.25;12:11:27;0;Tequila Sunrise - 0,2;0
26.09.25;12:14:17;0;Bora Bora - 0,2;1
26.09.25;12:35:38;0;Planters Punch - 0,2;0
26.09.25;12:44:49;0;Planters Wonder - 0,2;1
26.09.25;12:45:17;0;Morning Sunrise - 0,2;1
26.09.25;12:45:37;0;Planters Punch - 0,2;0
26.09.25;12:46:06;0;Touchdown - 0,2;0
26.09.25;12:46:31;0;Tequila Sunrise - 0,2;0
26.09.25;12:46:49;0;Mai Tai - 0,2;0
26.09.25;12:47:10;0;Mai Tai - 0,2;0
26.09.25;12:48:01;0;Iceman - 0,2;0
26.09.25;12:50:39;0;Iceman - 0,2;0
26.09.25;12:51:24;0;Iceman - 0,2;0
26.09.25;12:55:21;0;Green Eyes - 0,2;0
26.09.25;13:00:28;0;Iceman - 0,2;0
26.09.25;13:05:02;0;Sex on the Beach - 0,2;0
26.09.25;13:05:19;0;Sex on the Beach - 0,2;0
26.09.25;13:05:39;0;Sex on the Beach - 0,2;0
26.09.25;13:05:54;0;Sex on the Beach - 0,2;0
26.09.25;13:06:13;0;Sex on the Beach - 0,2;0
26.09.25;13:06:28;0;Sex on the Beach - 0,2;0
26.09.25;13:07:37;0;Bora Bora - 0,2;1
26.09.25;13:09:15;0;Tequila Sunrise - 0,2;0
26.09.25;13:10:08;0;Planters Punch - 0,2;0
26.09.25;13:10:23;0;Touchdown - 0,2;0
26.09.25;13:10:37;0;Sex on the Beach - 0,2;0
26.09.25;13:10:56;0;Mai Tai - 0,2;0
26.09.25;13:11:19;0;Touchdown - 0,2;0
26.09.25;13:37:04;0;Mai Tai - 0,2;0
26.09.25;13:57:29;0;Mai Tai - 0,2;0
26.09.25;13:57:39;0;Mai Tai - 0,2;0
26.09.25;13:57:52;0;Mai Tai - 0,2;0
26.09.25;13:58:00;0;Mai Tai - 0,2;0
26.09.25;13:58:31;0;Mai Tai - 0,2;0
26.09.25;13:58:57;0;Mai Tai - 0,2;0
26.09.25;13:59:21;0;Pina Colada 200ml;0
26.09.25;14:00:29;0;Planters Punch - 0,2;0
26.09.25;14:00:45;0;Planters Punch - 0,2;0
26.09.25;14:01:49;0;Planters Punch - 0,2;0
26.09.25;14:02:07;0;Planters Punch - 0,2;0
26.09.25;14:02:17;0;Mai Tai - 0,2;0
26.09.25;14:02:35;0;Mai Tai - 0,2;0
26.09.25;14:02:56;0;Mai Tai - 0,2;0
26.09.25;14:03:11;0;Sex on the Beach - 0,2;0
26.09.25;14:03:25;0;Pina Colada 200ml;0
26.09.25;14:03:43;0;Sex on the Beach - 0,2;0
26.09.25;14:03:57;0;Mai Tai - 0,2;0
26.09.25;14:04:09;0;Sex on the Beach - 0,2;0
26.09.25;14:04:33;0;Tequila Sunrise - 0,2;0
26.09.25;14:04:44;0;Tequila Sunrise - 0,2;0
26.09.25;14:05:00;0;Tequila Sunrise - 0,2;0
26.09.25;14:05:11;0;Tequila Sunrise - 0,2;0
26.09.25;14:05:24;0;Planters Punch - 0,2;0
26.09.25;14:05:32;0;Mai Tai - 0,2;0
26.09.25;14:05:43;0;Mai Tai - 0,2;0
26.09.25;14:05:54;0;Tequila Sunrise - 0,2;0
26.09.25;14:06:10;0;Sex on the Beach - 0,2;0
