Datum;Zeit;PLU;Name;Kategorie
29.03.25;19:06:54;0;Tropic Jackpot;1
29.03.25;19:41:18;0;Maracuja 100 ml;4
29.03.25;19:41:31;0;Maracuja 100 ml;4
29.03.25;19:52:42;0;Tommys Booster;1
29.03.25;20:11:05;0;Maracuja 100 ml;4
29.03.25;20:11:14;0;Maracuja 100 ml;4
29.03.25;20:16:21;0;High Sunrise;1
29.03.25;20:16:38;0;Tommys Booster;1
29.03.25;20:16:55;0;Tropic Jackpot;1
29.03.25;20:17:07;0;Tommys Booster;1
29.03.25;20:17:26;0;Showmaster;0
29.03.25;20:17:40;0;Malin Tai;0
29.03.25;20:18:00;0;Malin Tai;0
29.03.25;20:18:11;0;Tommys Booster;1
29.03.25;20:18:37;0;Tommys Booster;1
29.03.25;20:18:56;0;All in with Tommy;0
29.03.25;20:19:06;0;Tropic Jackpot;1
29.03.25;20:19:26;0;All in with Tommy;0
29.03.25;20:19:38;0;Tommys Booster;1
29.03.25;20:19:57;0;Tommys Booster;1
29.03.25;20:20:19;0;Malin Tai;0
29.03.25;20:20:40;0;Malins Ass;1
29.03.25;20:20:50;0;Malins Ass;1
29.03.25;20:21:00;0;Tommys Booster;1
29.03.25;20:21:28;0;Showmaster;0
29.03.25;20:21:39;0;Showmaster;0
29.03.25;20:21:49;0;Malin Tai;0
29.03.25;20:22:11;0;All in with Tommy;0
29.03.25;20:22:27;0;Malin Tai;0
29.03.25;20:22:42;0;All in with Tommy;0
29.03.25;20:23:26;0;Showmaster;0
29.03.25;20:24:34;0;Showmaster;0
29.03.25;20:25:02;0;High Sunrise;1
29.03.25;20:25:27;0;All in with Tommy;0
29.03.25;20:25:37;0;Malin Tai;0
29.03.25;20:25:51;0;Orange 100 ml;4
29.03.25;20:27:30;0;Orange 100 ml;4
29.03.25;20:28:05;0;Casino Night;0
29.03.25;20:28:40;0;Tropic Jackpot;1
29.03.25;20:29:20;0;Malin Tai;0
29.03.25;20:32:32;0;Malin Tai;0
29.03.25;20:33:29;0;Malin Tai;0
29.03.25;20:33:41;0;Malin Tai;0
29.03.25;20:34:35;0;High Sunrise;1
29.03.25;20:34:52;0;Ananas 100 ml;4
29.03.25;20:37:36;0;Showmaster;0
29.03.25;20:37:59;0;Orange 100 ml;4
29.03.25;20:38:17;0;Malins Ass;1
29.03.25;20:38:33;0;Tropic Jackpot;1
29.03.25;20:45:50;0;Showmaster;0
29.03.25;20:46:09;0;Tropic Jackpot;1
29.03.25;21:00:41;0;Maracuja 100 ml;4
29.03.25;21:01:03;0;Maracuja 100 ml;4
29.03.25;21:07:22;0;Casino Night;0
29.03.25;21:07:48;0;Malin Tai;0
29.03.25;21:08:43;0;Malins Ass;1
29.03.25;21:17:03;0;High Sunrise;1
29.03.25;21:18:22;0;Tommys Booster;1
29.03.25;21:20:14;0;Tommys Booster;1
29.03.25;21:20:31;0;Showmaster;0
29.03.25;21:26:25;0;Casino Night;0
29.03.25;21:28:09;0;Casino Night;0
29.03.25;21:43:01;0;Casino Night;0
29.03.25;21:43:21;0;Malins Ass;1
29.03.25;21:46:12;0;Maracuja 100 ml;4
29.03.25;21:46:43;0;Orange 100 ml;4
29.03.25;21:49:43;0;Casino Night;0
29.03.25;21:50:02;0;Tropic Jackpot;1
29.03.25;21:50:29;0;Malin Tai;0
29.03.25;21:51:04;0;Showmaster;0
29.03.25;21:51:14;0;Showmaster;0
29.03.25;21:51:47;0;Malin Tai;0
29.03.25;21:51:59;0;Casino Night;0
29.03.25;21:56:29;0;Tommys Booster;1
29.03.25;21:58:19;0;Malin Tai;0
29.03.25;21:58:40;0;Tropic Jackpot;1
29.03.25;22:03:54;0;Malin Tai;0
29.03.25;22:05:55;0;Casino Night;0
