Datum;Zeit;PLU;Name;Kategorie
27.05.25;11:11:48;0;Orange 100 ml;4
27.05.25;11:12:00;0;Orange 100 ml;4
27.05.25;11:12:51;0;Orange 100 ml;4
28.05.25;13:15:36;0;Planters Punch;0
28.05.25;13:16:24;0;Mai Tai;0
28.05.25;13:38:17;0;Morning Sunrise;1
28.05.25;20:16:36;0;Mai Tai;0
28.05.25;22:38:28;0;Planters Punch;0
28.05.25;22:55:10;0;Pina Colada;0
28.05.25;23:03:44;0;Pina Colada;0
29.05.25;09:48:28;0;Baby Colada;1
29.05.25;09:57:38;0;Tropic Star;1
29.05.25;14:59:01;0;Planters Punch;0
29.05.25;15:01:06;0;Aperol Spritz;2
29.05.25;15:01:18;0;Planters Punch;0
29.05.25;15:06:45;0;Planters Wonder - 0,2;1
29.05.25;15:09:36;0;Frotzen Mango2;0
29.05.25;15:11:07;0;Touch Down;0
29.05.25;15:11:43;0;Touch Down;0
29.05.25;15:11:56;0;Touch Down;0
29.05.25;15:12:24;0;Planters Punch - 0,2;0
29.05.25;15:12:30;0;Planters Punch - 0,2;0
29.05.25;15:13:18;0;Tequila Sunrise - 0,2;0
29.05.25;15:21:05;0;Planters Wonder;1
29.05.25;15:23:10;0;Carribean Night;0
29.05.25;15:28:23;0;Caipirinha;0
29.05.25;15:29:23;0;Caipirinha;0
29.05.25;15:32:46;0;Virgin Erdbeer Colada;1
29.05.25;15:34:03;0;Virgin Erdbeer Colada;1
29.05.25;15:38:30;0;Sex on the Beach - 0,2;0
29.05.25;15:39:59;0;Carribean Night - 0,2;0
29.05.25;15:40:21;0;Carribean Night - 0,2;0
29.05.25;15:40:37;0;Carribean Night - 0,2;0
29.05.25;15:41:10;0;Green Eyes;0
29.05.25;15:42:18;0;Bora Bora;1
29.05.25;15:43:15;0;Pina Colada;0
29.05.25;15:43:34;0;Pina Colada;0
29.05.25;15:44:01;0;Tequila Sunrise;0
29.05.25;15:44:31;0;Touch Down;0
29.05.25;15:45:02;0;Planters Wonder - 0,2;1
29.05.25;15:45:24;0;Ananas 100 ml;4
29.05.25;15:45:49;0;Orange 100 ml;4
29.05.25;15:49:57;0;Pina Colada;0
29.05.25;15:50:15;0;Pina Colada;0
