Datum;Zeit;PLU;Name;Kategorie
12.03.25;12:59:23;0;Bora Bora;1
12.03.25;13:13:52;0;Virgin Swimming Pool;1
12.03.25;13:19:54;0;Bora Bora;1
12.03.25;15:15:09;0;Morning Sunrise;1
12.03.25;15:18:40;0;Baby Colada;1
12.03.25;15:23:33;0;Planters Wonder;1
12.03.25;16:00:58;0;Exotic Dream;1
12.03.25;16:09:15;0;Virgin Swimming Pool;1
12.03.25;17:47:46;0;Carribean Night;0
12.03.25;17:48:25;0;Bora Bora;1
12.03.25;17:53:32;0;Sex on the Beach;0
12.03.25;17:54:34;0;Tequila Sunrise;0
12.03.25;17:56:27;0;Exotic Dream;1
12.03.25;17:56:50;0;Baby Colada;1
12.03.25;17:57:55;0;Cuba Libre;2
12.03.25;17:58:53;0;Planters Wonder;1
12.03.25;18:00:02;0;Caipirinha;0
12.03.25;18:01:01;0;Caipirinha;0
12.03.25;18:01:50;0;Caipirinha;0
12.03.25;18:02:41;0;Planters Punch;0
12.03.25;18:07:00;0;Sex on the Beach;0
12.03.25;18:07:20;0;Sex on the Beach;0
12.03.25;18:07:49;0;Planters Wonder;1
12.03.25;18:08:14;0;Tropic Star;1
12.03.25;18:09:04;0;Pina Colada;0
12.03.25;18:10:03;0;Caipirinha;0
12.03.25;18:10:27;0;Carribean Night;0
12.03.25;18:11:13;0;Caipirinha;0
12.03.25;18:11:43;0;Swimming Pool;0
12.03.25;18:12:05;0;Mai Tai;0
12.03.25;18:13:24;0;Planters Wonder;1
12.03.25;18:13:49;0;Bora Bora;1
12.03.25;18:14:10;0;Morning Sunrise;1
12.03.25;18:14:39;0;Swimming Pool;0
12.03.25;18:15:32;0;Bora Bora;1
12.03.25;18:15:57;0;Baby Colada;1
12.03.25;18:16:21;0;Caipirinha;0
12.03.25;18:16:56;0;Tropic Star;1
12.03.25;18:17:21;0;Touch Down;0
12.03.25;18:17:49;0;Pina Colada;0
12.03.25;18:18:38;0;Sex on the Beach;0
12.03.25;18:18:57;0;Sex on the Beach;0
12.03.25;18:19:37;0;Planters Wonder;1
12.03.25;18:20:19;0;Sex on the Beach;0
12.03.25;18:20:50;0;Exotic Dream;1
12.03.25;18:21:06;0;Exotic Dream;1
12.03.25;18:21:33;0;Mai Tai;0
12.03.25;18:21:59;0;Mai Tai;0
12.03.25;18:22:30;0;Bora Bora;1
12.03.25;18:23:00;0;Planters Wonder;1
12.03.25;18:24:20;0;Caipirinha;0
12.03.25;18:24:56;0;Caipirinha;0
12.03.25;18:25:26;0;Sex on the Beach;0
12.03.25;18:25:52;0;Tropic Star;1
12.03.25;18:26:24;0;Morning Sunrise;1
12.03.25;18:27:28;0;Tequila Sunrise;0
12.03.25;18:27:55;0;Tequila Sunrise;0
12.03.25;18:28:32;0;Long island iced tea;0
12.03.25;18:29:29;0;Pina Colada;0
12.03.25;18:30:03;0;Planters Wonder;1
12.03.25;18:31:59;0;Baby Colada;1
12.03.25;18:32:28;0;Touch Down;0
12.03.25;18:33:03;0;Sex on the Beach;0
12.03.25;18:33:22;0;Sex on the Beach;0
12.03.25;18:33:54;0;Sex on the Beach;0
12.03.25;18:35:44;0;Sex on the Beach;0
12.03.25;18:36:06;0;Long island iced tea;0
12.03.25;18:36:48;0;Bora Bora;1
12.03.25;18:37:21;0;Carribean Night;0
12.03.25;18:38:05;0;Carribean Night;0
12.03.25;18:38:35;0;Pina Colada;0
12.03.25;18:38:53;0;Long island iced tea;0
12.03.25;18:39:42;0;Long island iced tea;0
12.03.25;18:40:53;0;Caipirinha;0
12.03.25;18:41:19;0;Exotic Dream;1
12.03.25;18:41:57;0;Carribean Night;0
12.03.25;18:42:27;0;Bora Bora;1
12.03.25;18:42:56;0;Pina Colada;0
12.03.25;18:45:30;0;Planters Punch;0
12.03.25;18:45:57;0;Planters Wonder;1
12.03.25;18:46:17;0;Bora Bora;1
12.03.25;18:47:08;0;Virgin Swimming Pool;1
12.03.25;18:47:47;0;Exotic Dream;1
12.03.25;18:48:18;0;Caipirinha;0
12.03.25;18:48:46;0;Pina Colada;0
12.03.25;18:49:42;0;Sex on the Beach;0
12.03.25;18:50:13;0;Virgin Swimming Pool;1
12.03.25;18:50:43;0;Virgin Swimming Pool;1
12.03.25;18:51:06;0;Virgin Swimming Pool;1
12.03.25;18:51:39;0;Sex on the Beach;0
12.03.25;18:52:14;0;Tequila Sunrise;0
12.03.25;18:52:53;0;Green Eyes;0
12.03.25;18:53:21;0;Morning Sunrise;1
12.03.25;18:54:16;0;Bora Bora;1
12.03.25;18:54:47;0;Planters Wonder;1
12.03.25;18:55:24;0;Caddys Dream;1
12.03.25;18:56:23;0;Sex on the Beach;0
12.03.25;18:56:44;0;Sex on the Beach;0
12.03.25;18:57:20;0;Caipirinha;0
12.03.25;18:57:53;0;Virgin Swimming Pool;1
12.03.25;18:58:32;0;Mai Tai;0
12.03.25;18:59:05;0;Baby Colada;1
12.03.25;19:00:42;0;Sex on the Beach;0
12.03.25;19:01:20;0;Pina Colada;0
12.03.25;19:05:38;0;Tropic Star;1
12.03.25;19:06:12;0;Mai Tai;0
12.03.25;19:08:25;0;Bora Bora;1
12.03.25;19:10:37;0;Mai Tai;0
12.03.25;19:12:56;0;Pina Colada;0
12.03.25;19:15:46;0;Sex on the Beach;0
12.03.25;19:19:21;0;Mai Tai;0
12.03.25;19:28:48;0;Pina Colada;0
12.03.25;19:29:36;0;Mai Tai;0
12.03.25;19:30:23;0;Sex on the Beach;0
12.03.25;19:35:49;0;Mai Tai;0
12.03.25;19:38:56;0;Bora Bora;1
12.03.25;19:46:12;0;Green Eyes;0
12.03.25;19:46:54;0;Planters Wonder;1
12.03.25;19:49:16;0;Virgin Swimming Pool;1
12.03.25;19:51:10;0;Bora Bora;1
12.03.25;19:56:41;0;Virgin Swimming Pool;1
12.03.25;20:07:22;0;Caipirinha;0
12.03.25;20:10:38;0;Carribean Night;0
12.03.25;20:13:41;0;Sex on the Beach;0
12.03.25;20:14:15;0;Exotic Dream;1
12.03.25;20:14:45;0;Virgin Swimming Pool;1
12.03.25;20:15:13;0;Baby Colada;1
12.03.25;20:15:42;0;Mai Tai;0
12.03.25;20:16:24;0;Swimming Pool;0
12.03.25;20:16:59;0;Ice Man;0
12.03.25;20:19:46;0;Swimming Pool;0
12.03.25;20:20:04;0;Mai Tai;0
12.03.25;20:20:38;0;Virgin Swimming Pool;1
12.03.25;20:20:58;0;Tropic Star;1
12.03.25;20:21:29;0;Morning Sunrise;1
12.03.25;20:22:02;0;Caddys Dream;1
12.03.25;20:22:42;0;Carribean Night;0
12.03.25;20:23:00;0;Carribean Night;0
12.03.25;20:23:37;0;Swimming Pool;0
12.03.25;20:24:09;0;Sex on the Beach;0
12.03.25;20:28:07;0;Bora Bora;1
12.03.25;20:28:28;0;Exotic Dream;1
12.03.25;20:32:04;0;Bora Bora;1
12.03.25;20:33:15;0;Tropic Star;1
12.03.25;20:35:51;0;Tequila Sunrise;0
12.03.25;20:36:21;0;Caipirinha;0
12.03.25;20:37:01;0;Tequila Sunrise;0
12.03.25;20:37:22;0;Tequila Sunrise;0
12.03.25;20:38:23;0;Caipirinha;0
12.03.25;20:38:50;0;Bora Bora;1
12.03.25;20:39:53;0;Pina Colada;0
12.03.25;20:42:36;0;Virgin Swimming Pool;1
12.03.25;20:43:10;0;Virgin Swimming Pool;1
12.03.25;20:44:18;0;Baby Colada;1
12.03.25;20:45:36;0;Planters Wonder;1
12.03.25;20:46:33;0;Baby Colada;1
12.03.25;20:49:05;0;Sex on the Beach;0
12.03.25;20:55:10;0;Sex on the Beach;0
12.03.25;20:56:36;0;Planters Wonder;1
12.03.25;21:00:55;0;Bora Bora;1
12.03.25;21:02:52;0;Baby Colada;1
12.03.25;21:03:27;0;Carribean Night;0
12.03.25;21:04:08;0;Sex on the Beach;0
12.03.25;21:04:32;0;Tequila Sunrise;0
12.03.25;21:06:37;0;Morning Sunrise;1
12.03.25;21:07:18;0;Exotic Dream;1
12.03.25;21:08:01;0;Planters Wonder;1
12.03.25;21:15:42;0;Tequila Sunrise;0
12.03.25;21:19:51;0;Mai Tai;0
12.03.25;21:20:13;0;Planters Wonder;1
12.03.25;21:20:47;0;Baby Colada;1
12.03.25;21:31:26;0;Exotic Dream;1
12.03.25;21:41:11;0;Bora Bora;1
12.03.25;21:50:10;0;Planters Punch;0
12.03.25;21:50:49;0;Planters Wonder;1
12.03.25;21:54:48;0;Tropic Star;1
12.03.25;22:10:36;0;Cuba Libre;2
12.03.25;22:11:44;0;Pina Colada;0
12.03.25;22:12:59;0;Tropic Star;1
