Datum;Zeit;PLU;Name;Kategorie
23.08.25;14:10:04;0;Exotic Dream;1
23.08.25;14:11:07;0;Planters Wonder;1
23.08.25;14:12:05;0;Cuba Libre;2
23.08.25;14:13:08;0;Caipirinha;0
23.08.25;14:13:15;0;Caipirinha;0
23.08.25;14:13:21;0;Caipirinha;0
23.08.25;14:13:35;0;Pina Colada;0
23.08.25;14:15:05;0;Touch Down;0
23.08.25;14:15:24;0;Touch Down;0
23.08.25;14:16:23;0;Caipirinha;0
23.08.25;14:16:41;0;Sex on the Beach;0
23.08.25;14:16:53;0;Sex on the Beach;0
23.08.25;14:17:58;0;Caipirinha;0
23.08.25;14:18:04;0;Caipirinha;0
23.08.25;14:18:55;0;Sex on the Beach;0
23.08.25;14:19:04;0;Sex on the Beach;0
23.08.25;14:19:47;0;Morning Sunrise;1
23.08.25;14:21:46;0;Long island iced tea;0
23.08.25;14:22:15;0;Baby Colada;1
23.08.25;14:22:56;0;Sex on the Beach;0
23.08.25;14:24:25;0;Caddys Dream;1
23.08.25;14:24:47;0;Pina Colada;0
23.08.25;14:25:02;0;Pina Colada;0
23.08.25;14:25:34;0;Touch Down;0
23.08.25;14:25:57;0;Exotic Dream;1
23.08.25;14:26:55;0;Sex on the Beach;0
23.08.25;14:27:03;0;Sex on the Beach;0
23.08.25;14:27:22;0;Pina Colada;0
23.08.25;14:28:27;0;Sex on the Beach;0
23.08.25;14:29:07;0;Tequila Sunrise;0
23.08.25;14:30:34;0;Touch Down;0
23.08.25;14:32:26;0;Pina Colada;0
23.08.25;14:34:06;0;Bora Bora;1
23.08.25;14:35:25;0;Long island iced tea;0
23.08.25;14:37:12;0;Long island iced tea;0
23.08.25;14:37:40;0;Green Eyes;0
23.08.25;14:43:32;0;Pina Colada;0
23.08.25;14:44:30;0;Caipirinha;0
23.08.25;14:45:03;0;Touch Down;0
23.08.25;14:45:18;0;Touch Down;0
23.08.25;14:55:40;0;Sex on the Beach;0
23.08.25;14:55:56;0;Pina Colada;0
23.08.25;14:57:41;0;Carribean Night;0
23.08.25;14:57:50;0;Carribean Night;0
23.08.25;15:01:14;0;Pina Colada;0
23.08.25;15:01:41;0;Caipirinha;0
23.08.25;15:04:33;0;Baby Colada;1
23.08.25;15:06:05;0;Cuba Libre;2
23.08.25;15:06:48;0;Virgin Swimming Pool;1
23.08.25;15:08:25;0;Mai Tai;0
23.08.25;15:08:55;0;Caipirinha;0
23.08.25;15:09:03;0;Tequila Sunrise;0
23.08.25;15:09:52;0;Long island iced tea;0
23.08.25;15:09:57;0;Long island iced tea;0
23.08.25;15:10:31;0;Tropic Star;1
23.08.25;15:13:18;0;Sex on the Beach;0
23.08.25;15:13:37;0;Mai Tai;0
23.08.25;15:16:31;0;Caipirinha;0
23.08.25;15:16:36;0;Caipirinha;0
23.08.25;15:16:55;0;Sex on the Beach;0
23.08.25;15:17:05;0;Sex on the Beach;0
23.08.25;15:17:57;0;Tropic Star;1
23.08.25;15:18:22;0;Mai Tai;0
23.08.25;15:18:48;0;Swimming Pool;0
23.08.25;15:19:41;0;Caipirinha;0
23.08.25;15:20:39;0;Tropic Star;1
23.08.25;15:21:04;0;Cuba Libre;2
23.08.25;15:21:55;0;Caipirinha;0
23.08.25;15:22:43;0;Long island iced tea;0
23.08.25;15:23:07;0;Caipirinha;0
23.08.25;15:23:12;0;Caipirinha;0
23.08.25;15:23:32;0;Long island iced tea;0
23.08.25;15:23:37;0;Long island iced tea;0
23.08.25;15:24:11;0;Caipirinha;0
23.08.25;15:24:18;0;Caipirinha;0
23.08.25;15:25:48;0;Planters Wonder;1
23.08.25;15:30:12;0;Mai Tai;0
23.08.25;15:30:33;0;Planters Punch;0
23.08.25;15:30:48;0;Tequila Sunrise;0
23.08.25;15:41:40;0;Sex on the Beach;0
23.08.25;15:45:03;0;Cuba Libre;2
23.08.25;15:45:47;0;Sex on the Beach;0
23.08.25;15:47:27;0;Pina Colada;0
23.08.25;15:51:08;0;Carribean Night;0
23.08.25;15:51:19;0;Carribean Night;0
23.08.25;15:51:32;0;Carribean Night;0
23.08.25;15:51:51;0;Bora Bora;1
23.08.25;15:52:03;0;Bora Bora;1
23.08.25;15:53:06;0;Carribean Night;0
23.08.25;15:53:56;0;Caipirinha;0
23.08.25;15:54:05;0;Caipirinha;0
23.08.25;15:54:42;0;Pina Colada;0
23.08.25;15:55:02;0;Swimming Pool;0
23.08.25;15:55:46;0;Mai Tai;0
23.08.25;15:56:02;0;Mai Tai;0
23.08.25;15:56:47;0;Caipirinha;0
23.08.25;15:56:55;0;Caipirinha;0
23.08.25;15:58:10;0;Tequila Sunrise;0
23.08.25;15:58:29;0;Planters Punch;0
23.08.25;16:00:00;0;Cuba Libre;2
23.08.25;16:00:25;0;Sex on the Beach;0
23.08.25;16:01:14;0;Sex on the Beach;0
23.08.25;16:04:46;0;Cuba Libre;2
23.08.25;16:05:02;0;Green Eyes;0
23.08.25;16:07:53;0;Swimming Pool;0
23.08.25;16:08:14;0;Sex on the Beach;0
23.08.25;16:13:39;0;Mai Tai;0
23.08.25;16:14:28;0;Sex on the Beach;0
23.08.25;16:14:46;0;Bora Bora;1
23.08.25;16:15:17;0;Sex on the Beach;0
23.08.25;16:15:57;0;Caipirinha;0
23.08.25;16:16:21;0;Caipirinha;0
23.08.25;16:16:33;0;Sex on the Beach;0
23.08.25;16:16:49;0;Pina Colada;0
23.08.25;16:17:24;0;Caipirinha;0
23.08.25;16:18:03;0;Planters Punch;0
23.08.25;16:19:24;0;Planters Punch;0
23.08.25;16:19:33;0;Planters Punch;0
23.08.25;16:19:42;0;Planters Punch;0
23.08.25;16:20:00;0;Sex on the Beach;0
23.08.25;16:21:12;0;Cranberysaft;4
23.08.25;16:21:28;0;Cranberysaft;4
23.08.25;16:21:47;0;Cranberysaft;4
23.08.25;16:22:06;0;Mai Tai;0
