Datum;Zeit;PLU;Name;Kategorie
18.08.25;16:35:16;0;Planters Wonder - 0,2;1
18.08.25;16:40:26;0;Tropic Star - 0,2;1
18.08.25;16:40:49;0;Planters Wonder - 0,2;1
18.08.25;16:46:04;0;Tropic Star - 0,2;1
18.08.25;16:54:04;0;Planters Punch - 0,2;0
18.08.25;16:54:22;0;Green Eyes - 0,2;0
18.08.25;16:55:41;0;Morning Sunrise - 0,2;1
18.08.25;16:57:01;0;Exotic Dream - 0,2;1
18.08.25;17:12:44;0;Planters Punch - 0,2;0
18.08.25;17:15:08;0;Baby Colada;1
18.08.25;17:18:34;0;Planters Wonder - 0,2;1
18.08.25;17:23:28;0;Planters Punch - 0,2;0
18.08.25;17:29:32;0;Pina Colada;0
18.08.25;17:30:40;0;Planters Punch - 0,2;0
18.08.25;17:35:06;0;Planters Wonder - 0,2;1
18.08.25;17:35:47;0;Tropic Star - 0,2;1
18.08.25;17:37:44;0;Planters Punch - 0,2;0
18.08.25;17:41:19;0;Baby Colada;1
18.08.25;17:41:47;0;Bora Bora - 0,2;1
18.08.25;17:47:14;0;Sex on the Beach - 0,2;0
18.08.25;17:47:57;0;Mai Tai - 0,2;0
18.08.25;17:55:26;0;Planters Punch - 0,2;0
18.08.25;18:07:18;0;Baby Colada;1
18.08.25;18:11:33;0;Tropic Star - 0,2;1
18.08.25;18:15:51;0;Tropic Star - 0,2;1
18.08.25;18:16:12;0;Planters Wonder - 0,2;1
18.08.25;18:17:01;0;Planters Punch - 0,2;0
18.08.25;18:17:38;0;Tropic Star - 0,2;1
18.08.25;18:20:07;0;Mai Tai - 0,2;0
18.08.25;18:41:57;0;Bora Bora - 0,2;1
18.08.25;18:42:17;0;Planters Wonder - 0,2;1
18.08.25;18:43:42;0;Mai Tai - 0,2;0
18.08.25;18:44:02;0;Mai Tai;0
18.08.25;18:46:28;0;Mai Tai - 0,2;0
18.08.25;18:56:12;0;Planters Punch - 0,2;0
18.08.25;18:58:16;0;Sex on the Beach - 0,2;0
18.08.25;18:59:30;0;Pina Colada;0
18.08.25;19:01:51;0;Ananas 100 ml;4
18.08.25;19:04:17;0;Tropic Star - 0,2;1
18.08.25;19:04:44;0;Planters Wonder - 0,2;1
18.08.25;19:16:06;0;Mai Tai;0
18.08.25;19:16:21;0;Mai Tai;0
18.08.25;19:35:29;0;Planters Punch - 0,2;0
18.08.25;19:35:54;0;Mai Tai - 0,2;0
18.08.25;19:36:58;0;Tropic Star - 0,2;1
18.08.25;19:37:52;0;Planters Punch - 0,2;0
18.08.25;19:38:08;0;Mai Tai - 0,2;0
18.08.25;19:43:40;0;Morning Sunrise;1
18.08.25;19:44:20;0;Planters Wonder - 0,2;1
18.08.25;19:45:28;0;Carribean Night;0
18.08.25;19:45:59;0;Sex on the Beach - 0,2;0
18.08.25;19:46:53;0;Swimming Pool;0
18.08.25;19:48:15;0;Bora Bora;1
18.08.25;19:48:48;0;Tropic Star - 0,2;1
18.08.25;19:53:00;0;Morning Sunrise - 0,2;1
18.08.25;19:54:25;0;Morning Sunrise;1
18.08.25;19:55:13;0;Sex on the Beach;0
18.08.25;19:56:16;0;Pina Colada;0
18.08.25;19:56:57;0;Morning Sunrise - 0,2;1
18.08.25;19:57:18;0;Exotic Dream;1
18.08.25;19:59:37;0;Exotic Dream - 0,2;1
18.08.25;20:00:36;0;Sex on the Beach;0
18.08.25;20:02:06;0;Planters Punch - 0,2;0
18.08.25;20:07:49;0;Tropic Star - 0,2;1
18.08.25;20:08:33;0;Mai Tai - 0,2;0
18.08.25;20:08:55;0;Planters Punch - 0,2;0
18.08.25;20:09:34;0;Long island iced tea;0
18.08.25;20:12:08;0;Planters Wonder - 0,2;1
18.08.25;20:12:38;0;Long island iced tea;0
18.08.25;20:21:49;0;Mai Tai - 0,2;0
18.08.25;20:22:12;0;Orange 100 ml;4
18.08.25;20:22:59;0;Solero;0
18.08.25;20:23:23;0;Swimming Pool;0
18.08.25;20:24:46;0;Mai Tai;0
18.08.25;20:26:38;0;Morning Sunrise - 0,2;1
18.08.25;20:27:38;0;Carribean Night - 0,2;0
18.08.25;20:28:10;0;Green Eyes - 0,2;0
18.08.25;20:31:09;0;Planters Punch - 0,2;0
18.08.25;20:41:53;0;Sex on the Beach - 0,2;0
18.08.25;20:42:02;0;Sex on the Beach - 0,2;0
18.08.25;20:52:26;0;Sex on the Beach - 0,2;0
18.08.25;20:54:51;0;Sex on the Beach - 0,2;0
18.08.25;21:15:04;0;Long island iced tea;0
18.08.25;21:15:27;0;Bora Bora - 0,2;1
18.08.25;21:15:44;0;Sex on the Beach - 0,2;0
18.08.25;21:21:09;0;Orange 100 ml;4
18.08.25;21:22:23;0;Sex on the Beach - 0,2;0
18.08.25;21:46:35;0;Planters Punch - 0,2;0
18.08.25;21:48:32;0;Mai Tai - 0,2;0
18.08.25;21:50:06;0;Planters Punch - 0,2;0
18.08.25;21:55:35;0;Planters Punch - 0,2;0
18.08.25;22:10:56;0;Planters Punch - 0,2;0
18.08.25;22:13:11;0;Planters Punch - 0,2;0
18.08.25;22:14:21;0;Mai Tai;0
