Datum;Zeit;PLU;Name;Kategorie
26.08.25;13:27:42;0;Planters Punch;0
26.08.25;13:29:57;0;Planters Wonder;1
26.08.25;13:57:25;0;Planters Wonder;1
26.08.25;16:41:29;0;Rum weiss 2cl;3
26.08.25;16:41:51;0;Rum weiss 2cl;3
26.08.25;16:44:51;0;Ananas 100 ml;4
26.08.25;16:46:59;0;Orange 100 ml;4
26.08.25;16:47:53;0;Orange 100 ml;4
26.08.25;16:48:59;0;Ananas 100 ml;4
26.08.25;16:50:26;0;Ananas 100 ml;4
27.08.25;07:39:51;0;Ananas 100 ml;4
27.08.25;10:12:35;0;Ananas 100 ml;4
27.08.25;10:12:47;0;Ananas 100 ml;4
27.08.25;10:56:00;0;Ananas 100 ml;4
27.08.25;10:56:07;0;Ananas 100 ml;4
27.08.25;10:56:15;0;Ananas 100 ml;4
27.08.25;12:40:37;0;Ananas 100 ml;4
27.08.25;13:53:24;0;Ananas 100 ml;4
03.09.25;12:03:23;0;Ananas 100 ml;4
03.09.25;12:04:08;0;Ananas 100 ml;4
14.09.25;06:21:19;0;Tropic Star - 0,2;1
14.09.25;06:21:40;0;Tropic Star - 0,2;1
14.09.25;06:29:03;0;Tropic Star - 0,2;1
14.09.25;06:51:46;0;Tropic Star - 0,2;1
14.09.25;06:55:52;0;Tropic Star - 0,2;1
14.09.25;06:56:04;0;Tropic Star - 0,2;1
14.09.25;06:56:15;0;Tropic Star - 0,2;1
14.09.25;06:56:34;0;Tropic Star - 0,2;1
14.09.25;06:56:51;0;Tropic Star - 0,2;1
14.09.25;06:57:06;0;Tropic Star - 0,2;1
14.09.25;06:57:18;0;Tropic Star - 0,2;1
14.09.25;06:57:39;0;Tropic Star - 0,2;1
14.09.25;06:57:51;0;Tropic Star - 0,2;1
14.09.25;06:58:09;0;Tropic Star - 0,2;1
14.09.25;06:58:27;0;Tropic Star - 0,2;1
14.09.25;06:58:43;0;Tropic Star - 0,2;1
14.09.25;06:59:03;0;Tropic Star - 0,2;1
14.09.25;07:01:06;0;Tropic Star - 0,2;1
14.09.25;07:09:21;0;Tropic Star - 0,2;1
14.09.25;07:28:32;0;Tropic Star - 0,2;1
14.09.25;07:28:40;0;Tropic Star - 0,2;1
14.09.25;07:38:45;0;Tropic Star - 0,2;1
14.09.25;07:55:27;0;Tropic Star - 0,2;1
14.09.25;08:00:44;0;Tropic Star - 0,2;1
14.09.25;08:02:05;0;Tropic Star - 0,2;1
14.09.25;08:02:15;0;Planters Wonder - 0,2;1
14.09.25;08:02:32;0;Exotic Dream - 0,2;1
14.09.25;08:17:12;0;Tropic Star - 0,2;1
14.09.25;08:18:02;0;Planters Wonder - 0,2;1
14.09.25;08:20:32;0;Baby Colada 200ml;1
14.09.25;08:22:35;0;Planters Wonder - 0,2;1
14.09.25;08:29:51;0;Planters Wonder - 0,2;1
14.09.25;08:33:35;0;Planters Wonder - 0,2;1
14.09.25;08:34:19;0;Planters Wonder - 0,2;1
14.09.25;08:35:17;0;Planters Wonder - 0,2;1
14.09.25;08:36:43;0;Morning Sunrise - 0,2;1
14.09.25;08:37:52;0;Morning Sunrise - 0,2;1
14.09.25;08:38:27;0;Morning Sunrise - 0,2;1
14.09.25;08:38:50;0;Planters Wonder - 0,2;1
14.09.25;08:44:51;0;Planters Wonder - 0,2;1
14.09.25;08:45:29;0;Planters Wonder - 0,2;1
14.09.25;08:46:07;0;Planters Wonder - 0,2;1
14.09.25;09:18:14;0;Planters Wonder - 0,2;1
14.09.25;09:29:01;0;Planters Wonder - 0,2;1
14.09.25;09:34:43;0;Sex on the Beach - 0,2;0
14.09.25;09:35:20;0;Planters Wonder - 0,2;1
14.09.25;09:35:55;0;Planters Wonder - 0,2;1
14.09.25;09:36:21;0;Morning Sunrise - 0,2;1
14.09.25;09:36:43;0;Planters Wonder - 0,2;1
14.09.25;09:37:13;0;Morning Sunrise - 0,2;1
14.09.25;09:48:50;0;Planters Wonder - 0,2;1
14.09.25;09:49:19;0;Planters Wonder - 0,2;1
14.09.25;09:49:44;0;Planters Punch - 0,2;0
14.09.25;09:53:54;0;Bora Bora - 0,2;1
14.09.25;09:54:06;0;Caddys Dream - 0,2;1
14.09.25;09:54:18;0;Exotic Dream - 0,2;1
14.09.25;09:54:35;0;Planters Wonder - 0,2;1
14.09.25;09:54:58;0;Tropic Star - 0,2;1
14.09.25;09:59:16;0;Planters Wonder - 0,2;1
14.09.25;10:13:56;0;Morning Sunrise - 0,2;1
14.09.25;10:21:24;0;Planters Wonder - 0,2;1
14.09.25;10:21:44;0;Tropic Star - 0,2;1
14.09.25;10:23:27;0;Baby Colada 200ml;1
14.09.25;10:27:17;0;Planters Wonder - 0,2;1
14.09.25;10:27:58;0;Morning Sunrise - 0,2;1
14.09.25;10:28:34;0;Baby Colada 200ml;1
14.09.25;10:29:10;0;Caddys Dream - 0,2;1
14.09.25;10:30:01;0;Morning Sunrise - 0,2;1
14.09.25;10:40:22;0;Planters Wonder - 0,2;1
14.09.25;10:40:38;0;Tropic Star - 0,2;1
14.09.25;10:59:57;0;Iceman - 0,2;0
14.09.25;11:00:21;0;Iceman - 0,2;0
14.09.25;11:13:58;0;Planters Wonder - 0,2;1
14.09.25;11:18:00;0;Planters Punch - 0,2;0
14.09.25;11:18:09;0;Green Eyes - 0,2;0
14.09.25;11:18:28;0;Sex on the Beach - 0,2;0
14.09.25;11:18:40;0;Tequila Sunrise - 0,2;0
14.09.25;11:19:13;0;Sex on the Beach - 0,2;0
14.09.25;11:19:53;0;Tequila Sunrise - 0,2;0
14.09.25;11:21:36;0;Tropic Star - 0,2;1
14.09.25;11:23:44;0;Pina Colada 200ml;0
14.09.25;11:24:15;0;Sex on the Beach - 0,2;0
14.09.25;11:24:39;0;Pina Colada 200ml;0
14.09.25;11:43:16;0;Morning Sunrise - 0,2;1
14.09.25;11:46:30;0;Planters Punch - 0,2;0
14.09.25;11:46:58;0;Baby Colada 200ml;1
14.09.25;11:47:29;0;Planters Punch - 0,2;0
14.09.25;11:47:57;0;Rum weiss 2cl;3
14.09.25;11:48:04;0;Rum weiss 2cl;3
14.09.25;11:59:38;0;Tequila Sunrise - 0,2;0
